,Ticker,Start,End,NA_Count,Days,Percent_NA
478,ETR,2016-01-04,2022-12-30,2124,2552,0.013004506269592476
479,CEG,2022-02-10,2022-12-30,0,323,0.0
480,FE,2016-01-04,2022-12-30,24,2552,0.0001469435736677116
481,PPL,2016-01-04,2022-12-30,1632,2552,0.009992163009404389
482,PCG,2016-01-04,2022-12-30,1056,2552,0.00646551724137931
483,ES,2016-01-04,2022-12-30,5376,2552,0.032915360501567396
484,SO,2016-01-04,2022-12-30,732,2552,0.004481778996865204
485,PNW,2016-01-04,2022-12-30,2820,2552,0.017265869905956112
486,ATO,2016-01-04,2022-12-30,4320,2552,0.026449843260188087
487,AES,2016-01-04,2022-12-30,516,2552,0.0031592868338557994
